Logging Type,Num Attackers,FP Rate,Total Attack Packet,Successful Attack Packet,Average Path Length
COMPREHENSIVE,1000,0.001,3000000,2727791,3.781
COMPREHENSIVE,1000,1.0E-4,3000000,2721921,3.772
COMPREHENSIVE,1000,0.01,3000000,2720273,3.808
EVEN,1000,0.001,3000000,2816573,3.812
ODD,1000,0.01,3000000,2837738,3.129
EVEN,1000,0.01,3000000,2716003,4.061
EVEN,1000,0.05,3000000,2717739,3.816
COMPREHENSIVE,1500,0.05,1000000,897666,3.786
COMPREHENSIVE,1000,1.0E-4,3000000,2737804,4.189
COMPREHENSIVE,1500,0.001,1000000,914611,3.8066666666666666
EVEN,1000,0.01,3000000,72303,3.368
COMPREHENSIVE,1000,0.01,3000000,2717729,4.138
EVEN,1000,0.05,3000000,2681767,3.826
EVEN,1500,0.001,1000000,904421,3.784
ODD,1500,0.01,1000000,920688,3.9153333333333333
COMPREHENSIVE,1500,1.0E-4,1000000,922432,3.1566666666666667
COMPREHENSIVE,1500,0.05,1000000,0,3.384
EVEN,1500,0.05,1000000,904676,3.1473333333333335
COMPREHENSIVE,1500,0.001,1000000,892118,3.7973333333333334
COMPREHENSIVE,1500,0.01,1000000,901576,3.7953333333333332
EVEN,1500,0.01,1000000,918929,3.9193333333333333
EVEN,1500,0.001,1000000,913091,3.964
ODD,1500,0.01,1000000,912676,3.7653333333333334
COMPREHENSIVE,1500,1.0E-4,1000000,903044,3.79
COMPREHENSIVE,1500,0.01,1000000,904617,3.178
EVEN,1500,0.05,1000000,904517,3.8133333333333335
COMPREHENSIVE,1500,0.05,1000000,915797,5.182666666666667
EVEN,1500,0.01,1000000,908457,3.8033333333333332
COMPREHENSIVE,1500,0.001,1000000,909315,4.25
EVEN,1500,0.001,1000000,933756,3.735333333333333
ODD,1500,0.01,1000000,905184,3.7986666666666666
COMPREHENSIVE,1500,1.0E-4,1000000,919274,4.264
COMPREHENSIVE,1500,0.05,1000000,0,3.4233333333333333
EVEN,1500,0.05,1000000,906313,3.814
COMPREHENSIVE,1500,0.01,1000000,912557,4.15
EVEN,1500,0.01,1000000,912326,3.806
COMPREHENSIVE,1500,0.001,1000000,916236,3.7973333333333334
ODD,1500,0.01,1000000,908520,3.84
EVEN,1500,0.001,1000000,927994,4.0873333333333335
COMPREHENSIVE,1500,1.0E-4,1000000,958604,3.2746666666666666
EVEN,1500,0.05,1000000,945653,3.69
COMPREHENSIVE,1500,0.05,1000000,907445,3.782
COMPREHENSIVE,1500,0.01,1000000,906867,3.806
EVEN,1500,0.01,1000000,910033,3.792666666666667
COMPREHENSIVE,1500,0.001,1000000,902483,3.76
ODD,1500,0.01,1000000,895344,3.824
EVEN,1500,0.001,1000000,905606,3.792
COMPREHENSIVE,1500,1.0E-4,1000000,5117,3.9913333333333334
EVEN,1500,0.05,1000000,914941,4.004
EVEN,1500,0.01,1000000,903797,3.800666666666667
COMPREHENSIVE,1500,0.05,2000000,1756963,4.4526666666666666
COMPREHENSIVE,1500,0.001,2000000,1838320,4.058
COMPREHENSIVE,1500,0.01,1000000,906139,4.908666666666667
EVEN,1500,0.001,2000000,1786459,3.996
ODD,1500,0.01,2000000,1845754,4.186
COMPREHENSIVE,1500,1.0E-4,2000000,1811370,3.8093333333333335
EVEN,1500,0.05,2000000,1802432,3.779333333333333
COMPREHENSIVE,1500,0.01,2000000,1877497,3.6253333333333333
EVEN,1500,0.01,2000000,1793022,3.7893333333333334
COMPREHENSIVE,1500,0.05,2000000,1820715,3.804
COMPREHENSIVE,1500,0.001,2000000,1802537,3.812666666666667
ODD,1500,0.01,2000000,1812977,3.798
EVEN,1500,0.001,2000000,1820583,3.997333333333333
COMPREHENSIVE,1500,1.0E-4,2000000,1870851,3.832666666666667
EVEN,1500,0.05,2000000,1802126,3.8033333333333332
COMPREHENSIVE,1500,0.001,2000000,1909376,3.183333333333333
COMPREHENSIVE,1500,0.05,2000000,1808072,3.7993333333333332
EVEN,1500,0.01,2000000,53601,4.168
COMPREHENSIVE,1500,0.01,2000000,1835441,4.19
ODD,1500,0.01,2000000,1813541,3.8106666666666666
EVEN,1500,0.001,2000000,1804801,3.788666666666667
COMPREHENSIVE,1500,0.001,2000000,260594,3.3386666666666667
COMPREHENSIVE,1500,0.01,2000000,1897370,2.828666666666667
COMPREHENSIVE,1500,1.0E-4,2000000,1814251,5.122
COMPREHENSIVE,1500,0.05,2000000,1811058,3.8213333333333335
EVEN,1500,0.05,2000000,1721908,5.22
EVEN,1500,0.01,2000000,1806678,3.788666666666667
ODD,1500,0.01,2000000,1863980,3.3073333333333332
EVEN,1500,0.001,2000000,1836030,3.7746666666666666
EVEN,1500,0.05,2000000,1600233,3.018
COMPREHENSIVE,1500,0.01,2000000,1804867,3.780666666666667
COMPREHENSIVE,1500,0.001,2000000,1857856,4.304666666666667
COMPREHENSIVE,1500,1.0E-4,2000000,1806044,3.806
COMPREHENSIVE,1500,0.05,2000000,1806988,3.791333333333333
